Threshold,False Positives,False Negatives,Precision,Recall,F1 Score,FP Rate (unsched),FP Rate (all),FN Rate (sched)
0.5,14837,2373,0.7241834439425204,0.9425826901207385,0.8190744517566914,0.09350795041311898,0.074185,0.05741730987926154
0.53,14047,2625,0.7337112092661751,0.9364852766822328,0.8227891156462585,0.08852909479362958,0.070235,0.06351472331776718
0.55,13309,2920,0.7426621292393364,0.9293474315855694,0.825582769997958,0.08387796131618254,0.066545,0.07065256841443054
0.58,12492,3204,0.7532054448110319,0.9224757434247138,0.8292911056489679,0.07872894227678656,0.06246,0.07752425657528612
0.6,11733,3532,0.7631132646880678,0.9145394275206271,0.8319924278277331,0.07394545947274549,0.058665,0.08546057247937283
0.63,10965,3894,0.7734504132231405,0.9057804447240436,0.8344013641074792,0.06910525552873556,0.054825,0.09421955527595635
0.65,10156,4268,0.78490797805875,0.8967311089065789,0.8371016194972105,0.06400665528042301,0.05078,0.10326889109342108
0.68,9356,4731,0.7964051007529268,0.8855283215175784,0.8386054558161383,0.05896477617207933,0.04678,0.11447167848242154
0.71,8554,5248,0.8083566707740563,0.8730189455346125,0.83944441859383,0.05391029236596479,0.04277,0.1269810544653875
0.73,7708,5816,0.8216607667569006,0.8592755692129014,0.840047309284447,0.04857850520889136,0.03854,0.14072443078709865
0.76,6923,6472,0.8342987075155577,0.8434029374047279,0.8388261199148107,0.04363116133382912,0.034615,0.1565970625952721
0.78,6043,7192,0.8496017919362867,0.8259817561518547,0.8376252929124391,0.03808509431465107,0.030215,0.17401824384814538
0.81,5225,8048,0.8643068612683737,0.8052699073289942,0.8337445982338574,0.03292977292636966,0.026125,0.19473009267100583
0.84,4403,9075,0.879886515535914,0.7804205279585763,0.8271741081732619,0.027749242142546527,0.022015,0.2195794720414237
0.86,3600,10345,0.8959056210964608,0.7496914999153137,0.8163028730257005,0.022688455987546558,0.018,0.2503085000846863
0.89,2754,11978,0.9142189690079426,0.7101792929903942,0.7993844813029387,0.017356668830473116,0.01377,0.2898207070096058
0.91,1957,13968,0.9332491984446415,0.6620290836942583,0.774583492575764,0.012333696768785726,0.009785,0.3379709163057417
0.94,1194,16693,0.9537746806039489,0.5960947518691476,0.733661906818148,0.007525004569202942,0.00597,0.40390524813085243
0.96,530,20515,0.9751686656671664,0.5036173147184786,0.6642094681920444,0.003340244909277688,0.00265,0.49638268528152146
0.99,56,27170,0.9960604994723883,0.3425923685547678,0.509830044649287,0.0003529315375840576,0.00028,0.6574076314452322
